step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
40,1.81899e-13,0.001,15.8824,2000,2.5963,2.55004,3.22388,2.64416,588.062,533.062,2117.03,1919.03,28.5625,14.0625,1.42654e+06,83.5873,127.089,700,700,0.195125,0.00929377,0.697819,0.67812,-0.0196879,0.0371081,0.0421296,0.0202316,4.39499e-10,0.722448,2.23063,0.287894,10704.5
41,9.09495e-14,0.001,16.5238,2000,2.31125,2.27024,3.03848,2.35376,532.188,480.375,1915.88,1729.35,25.25,12.6875,1.46146e+06,100.243,145.006,700,700,0.177063,0.00662998,0.63434,0.436193,-0.198151,0.042786,0.0427101,0.226336,-1.89916e-09,0.730098,2.3308,0.327801,10970.8
42,4.54747e-14,0.001,16.3854,2000,2.5807,2.53499,3.20596,2.62787,590,533.062,2124,1919.03,31,14.9375,1.44513e+06,82.2149,126.061,700,700,0.189031,0.00789155,0.618514,0.608987,-0.00952015,0.0351742,0.0437397,0.0110077,8.99392e-11,0.709629,2.36924,0.341938,11234.9
43,2.27374e-14,0.001,16.5964,2000,2.51883,2.47375,3.19362,2.56538,576,521.938,2073.6,1878.97,26.8125,12.5625,1.42295e+06,84.5364,128.55,700,700,0.193937,0.00823864,0.584557,0.586798,0.00222542,0.041309,0.0429788,0.00487391,-1.92784e-10,0.700202,2.22494,0.325477,11502.3
44,1.13687e-14,0.001,16.4866,2000,2.59265,2.55102,3.22528,2.63568,592,533.75,2131.2,1921.5,32.4375,16.625,1.4496e+06,81.0533,124.843,700,700,0.185781,0.00734228,0.550706,0.550251,-0.000484313,0.0479389,0.0449614,0.000220574,-9.78183e-10,0.689166,2.3633,0.357186,11768.1
45,5.68434e-15,0.001,16.237,2000,2.60388,2.55741,3.23452,2.65169,594.688,538.125,2140.88,1937.25,30,13.3125,1.43267e+06,79.9668,123.926,700,700,0.194062,0.00765936,0.518289,0.572907,0.0546385,0.0413228,0.0398005,-0.0528577,1.09771e-09,0.671239,2.37659,0.34579,12029.7
46,2.84217e-15,0.001,16.3602,2000,2.51445,2.47292,3.19662,2.55724,576.188,520.188,2074.28,1872.68,28,13.25,1.40859e+06,81.3222,125.527,700,700,0.190094,0.00724251,0.483459,0.500672,0.0171843,0.0483392,0.0433424,-0.00295137,6.14044e-10,0.659992,2.27923,0.332252,12293.4
47,1.42109e-15,0.001,16.5438,2000,2.58185,2.54024,3.24394,2.62469,594.25,535.25,2139.3,1926.9,30.3125,14.4375,1.39028e+06,76.9847,121.062,700,700,0.191844,0.0072267,0.46476,0.529459,0.0646834,0.0497842,0.0469323,-0.0622367,3.35051e-11,0.636573,2.31691,0.337506,12560.1
48,7.10543e-16,0.001,16.7969,2000,2.56618,2.52937,3.22463,2.60392,597.5,541.625,2151,1949.85,31.875,15.25,1.46624e+06,78.0775,122.865,700,700,0.191125,0.00665101,0.440295,0.523721,0.0834031,0.0518262,0.0433802,-0.0815032,-6.09931e-11,0.622629,2.31903,0.336927,12830.8
49,3.55271e-16,0.001,16.7953,2000,2.5893,2.55147,3.23471,2.6281,602.312,543.562,2168.32,1956.83,32.25,15.25,1.39553e+06,75.2356,119.843,700,700,0.191156,0.00656318,0.420302,0.520486,0.100154,0.0483563,0.042992,-0.098973,-9.97919e-11,0.608515,2.34162,0.334178,13101.4
50,1.77636e-16,0.001,17.4092,2000,2.35617,2.32654,3.11837,2.38657,557.688,499.25,2007.67,1797.3,31.9375,15.875,1.43213e+06,89.5357,134.982,700,700,0.169781,0.00387935,0.393578,0.31236,-0.0812327,0.0516384,0.0470572,0.0917569,-1.78093e-10,0.595306,2.48598,0.343567,13382
