step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
45,0,0.001,13.7237,2000,2.52117,2.46468,3.18209,2.57995,566.75,512.438,2040.3,1844.78,27.0625,12.625,1.42194e+06,87.9345,131.127,700,700,0.188563,377.125,0.010679,21.3579,22.0114,44022.8,292.875,-0.993999,4.81293e-10,0.762308,0.395723,10790.3
46,0,0.001,14.796,2000,2.52291,2.46898,3.17969,2.57896,569.688,515.875,2050.88,1857.15,27.25,12.625,1.42553e+06,89.67,133.015,700,700,0.189812,379.625,0.0106112,21.2224,22.0702,44140.4,294.375,-1.01469,-9.25349e-10,0.767435,0.543482,11018.6
47,0,0.001,13.8647,2000,2.58132,2.52383,3.2088,2.64127,571.875,520.875,2058.75,1875.15,27.125,13.125,1.49379e+06,90.4096,133.103,700,700,0.192625,385.25,0.0107909,21.5819,21.7812,43562.5,295.5,-1.01016,7.68537e-10,0.781886,0.573078,11242
48,0,0.001,13.8119,2000,2.44609,2.39423,3.14873,2.50027,546.25,496.375,1966.5,1786.95,24.9375,12.9375,1.49415e+06,96.4111,139.543,700,700,0.185844,371.688,0.00949372,18.9874,22.0282,44056.4,282.812,-0.858531,-1.43609e-10,0.786905,-9.37247,11464
49,0,0.001,13.9473,2000,2.59579,2.535,3.20386,2.6594,572.188,521.625,2059.88,1877.85,25.875,12.8125,1.4497e+06,92.1932,134.65,700,700,0.196125,392.25,0.0108141,21.6282,21.7021,43404.1,295.938,-1.0102,5.19207e-10,0.793247,0.571061,11688.7
50,0,0.001,13.9077,2000,2.54042,2.47947,3.18408,2.60421,556.25,505.312,2002.5,1819.12,27.9375,13.9375,1.51659e+06,97.3932,139.608,700,700,0.182812,365.625,0.00857906,17.1581,21.5887,43177.4,288.25,-0.771807,1.0051e-09,0.808093,0.491644,11912.7
51,0,0.001,14.0524,2000,2.2882,2.23388,2.91912,2.34528,500.125,453.5,1800.45,1632.6,19.625,10.625,1.45134e+06,124.441,167.703,700,700,0.177687,355.375,0.00759546,15.1909,22.1421,44284.1,259.75,-0.610323,3.35754e-09,0.821934,0.581563,12139.1
52,0,0.001,13.9609,2000,2.40583,2.34426,3.08815,2.47069,519,471.938,1868.4,1698.97,22.75,11.375,1.4813e+06,113.584,155.687,700,700,0.179094,358.188,0.00763023,15.2605,21.5566,43113.2,269.125,-0.63241,5.41203e-10,0.831322,0.521898,12364
53,0,0.001,13.5961,2000,2.62262,2.54864,3.22662,2.7008,551.75,510.062,1986.3,1836.22,19.5,9.5625,1.50392e+06,101.457,142.256,700,700,0.206281,412.562,0.0115484,23.0968,20.9542,41908.3,286.062,-1.07453,6.31097e-10,0.842027,0.520648,12583
54,0,0.001,14.0403,2000,2.2288,2.16043,2.88391,2.3012,473.875,433.125,1705.95,1559.25,17.875,8.4375,1.53131e+06,139.84,182.246,700,700,0.171875,343.75,0.00617556,12.3511,21.712,43423.9,247.062,-0.483786,-1.96541e-10,0.87112,0.593158,12809.2
