step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
30,0,0.001,11.6938,2000,2.44656,2.33692,3.03763,2.56707,441.375,405.812,1588.95,1460.93,15.25,7.625,1.50287e+06,149.871,185.797,700,700,0.164781,329.562,0.000999465,1.99893,18.6855,37371.1,230.562,0.0511267,-2.95456e-10,0.967067,0.408669,6083.39
31,0,0.001,11.3036,2000,2.34211,2.21167,3.03667,2.48832,401.125,378.25,1444.05,1361.7,7.375,4.0625,1.54808e+06,178.455,211.906,700,700,0.170687,341.375,0.00190522,3.81044,17.6725,35345,210.438,-0.137742,-5.7185e-10,0.99293,0.476704,6265.49
32,0,0.001,11.4221,2000,2.24792,2.11954,2.97122,2.39229,381.562,360.375,1373.62,1297.35,6.5,3.75,1.585e+06,188.625,221.867,700,700,0.163938,327.875,0.000778107,1.55621,17.5865,35173.1,200.688,-0.0442079,-2.87036e-10,0.998289,0.376431,6449.38
33,0,0.001,10.9832,2000,2.67695,2.52395,3.14931,2.84957,427.25,405.062,1538.1,1458.22,9.875,5.875,1.65747e+06,168.065,199.535,700,700,0.177844,355.688,0.0030098,6.0196,16.6732,33346.4,223.125,-0.283949,-5.74422e-10,0.977486,0.372366,6626.19
34,0,0.001,10.9673,2000,2.70806,2.55194,3.19004,2.88384,429.375,405.312,1545.75,1459.12,10.375,5.5625,1.55065e+06,165.403,196.537,700,700,0.176719,353.438,0.00274879,5.49758,16.4814,32962.9,224.25,-0.254877,-8.42289e-10,0.974753,0.425013,6802.81
35,0,0.001,11.013,2000,2.97536,2.82385,3.307,3.14357,474.438,448.688,1707.97,1615.28,13.625,7.1875,1.59054e+06,144.956,176.387,700,700,0.190281,380.562,0.00489862,9.79723,16.5258,33051.6,247.188,-0.460364,-3.632e-10,0.944907,0.421683,6980.17
36,0,0.001,10.9495,2000,3.11708,2.96809,3.39037,3.28219,489.562,462.938,1762.43,1666.58,15.6875,9.125,1.67708e+06,137.703,168.711,700,700,0.19225,384.5,0.00510417,10.2083,16.2906,32581.2,254.688,-0.469585,6.13706e-10,0.928957,0.374417,7156.43
37,0,0.001,10.9284,2000,3.09235,2.93708,3.322,3.26495,475.562,449.625,1712.03,1618.65,14.4375,7.5625,1.68426e+06,141.81,172.975,700,700,0.188719,377.438,0.00438599,8.77198,16.3158,32631.6,247.5,-0.320241,-5.45546e-10,0.929528,0.387362,7332.37
38,0,0.001,10.2749,2000,3.39172,3.19527,3.51342,3.61397,476.75,449.625,1716.3,1618.65,16.375,9.4375,1.59551e+06,143.535,171.267,700,700,0.183875,367.75,0.00347659,6.95319,14.7117,29423.5,247.875,-0.311841,-1.34827e-10,0.913441,0.388144,7497.83
39,0,0.001,10.8014,2000,3.33659,3.17038,3.50493,3.52071,500.938,472.938,1803.38,1702.58,15.4375,8,1.65633e+06,129.456,159.168,700,700,0.197875,395.75,0.00570099,11.402,15.6013,31202.5,259.312,-0.514964,3.02692e-10,0.897616,0.408273,7671.75
40,0,0.001,10.6028,2000,3.38715,3.22873,3.53811,3.56142,519.375,490,1869.75,1764,19.25,9.875,1.74107e+06,124.385,154.618,700,700,0.196875,393.75,0.00540832,10.8166,15.8306,31661.2,269.125,-0.537538,-2.16201e-10,0.877943,0.414703,7842.49
41,0,0.001,11.0313,2000,3.34724,3.20855,3.53122,3.49876,532.625,500.875,1917.45,1803.15,19.5,11.0625,1.66761e+06,116.69,148.064,700,700,0.201688,403.375,0.00607361,12.1472,16.3706,32741.2,276.125,-0.553924,-2.54592e-10,0.871028,0.356116,8020.06
42,0,0.001,10.6097,2000,3.53412,3.37097,3.60417,3.71364,528.062,500.812,1901.03,1802.93,17,8.875,1.68561e+06,119.777,149.325,700,700,0.207906,415.812,0.00695964,13.9193,15.4729,30945.8,273.625,-0.645084,3.0591e-10,0.86147,0.407939,8190.91
43,0,0.001,11.4765,2000,3.0407,2.92333,3.28723,3.16756,511.438,480.062,1841.18,1728.22,18.5,9.375,1.70531e+06,126.525,160.89,700,700,0.193781,387.562,0.00445646,8.91292,17.7434,35486.8,265.812,-0.318112,-5.50744e-10,0.881089,0.402994,8375.67
44,0,0.001,11.8253,2000,2.96666,2.88374,3.41073,3.05456,566.625,525.5,2039.85,1891.8,21.8125,11.8125,1.53689e+06,96.7007,133.996,700,700,0.208219,416.438,0.00671228,13.4246,19.1823,38364.6,292.875,-0.606391,-1.86597e-10,0.84349,0.481667,8566.14
45,0,0.001,12.5802,2000,2.70741,2.64946,3.30263,2.76782,574,523.25,2066.4,1883.7,27.5,13.5625,1.47987e+06,88.5961,129.606,700,700,0.192875,385.75,0.00403873,8.07745,20.9199,41839.8,296.938,-0.379034,-2.49292e-10,0.797668,0.363687,8768.63
46,0,0.001,12.2716,2000,2.56638,2.49951,3.19143,2.63664,525.938,479.562,1893.38,1726.42,21.5625,10.125,1.42419e+06,108.264,148.556,700,700,0.185875,371.75,0.00278132,5.56263,20.5627,41125.4,272.75,-0.156417,1.27686e-10,0.846609,0.433232,8966.27
47,0,0.001,11.6209,2000,2.89162,2.78098,3.33917,3.01168,505.938,472.812,1821.38,1702.12,17.1875,9.6875,1.61781e+06,124.386,159.287,700,700,0.193438,386.875,0.00393179,7.86359,18.1076,36215.2,262.938,-0.292273,-1.61075e-09,0.883492,0.460018,9153.42
48,0,0.001,11.2031,2000,3.22642,3.09492,3.50176,3.36932,536.188,504.688,1930.27,1816.88,18.875,9.8125,1.63052e+06,114.194,146.915,700,700,0.205156,410.312,0.00575442,11.5088,17.0326,34065.2,278.438,-0.530305,-1.2153e-10,0.851174,0.385865,9333.79
49,0,0.001,11.2461,2000,2.95314,2.8351,3.41115,3.08173,508.188,477.438,1829.47,1718.78,14.5,8.5,1.58246e+06,123,156.939,700,700,0.202469,404.938,0.00521211,10.4242,17.6747,35349.4,263.562,-0.449295,-7.05522e-10,0.870949,0.454381,9514.94
50,0,0.001,11.2706,2000,3.01851,2.88685,3.41436,3.16283,504.438,476.688,1815.97,1716.08,14.625,8.3125,1.65845e+06,128.176,161.088,700,700,0.201781,403.562,0.00500911,10.0182,17.2024,34404.9,261.625,-0.484883,9.81637e-10,0.880109,0.382091,9696.38
51,0,0.001,10.8884,2000,3.03931,2.87536,3.43544,3.22226,468.75,444.188,1687.5,1599.08,12.125,6.125,1.58382e+06,145.946,176.332,700,700,0.191781,383.562,0.00330677,6.61354,16.0174,32034.8,244.312,-0.289924,-5.60962e-10,0.888265,0.362659,9871.66
52,0,0.001,11.0101,2000,3.09571,2.95103,3.44813,3.25519,498.062,469.312,1793.03,1689.53,14.5,8,1.56608e+06,131.028,162.674,700,700,0.198406,396.812,0.00432959,8.65918,16.5853,33170.6,258.188,-0.394754,-5.29728e-10,0.874687,0.375289,10048.9
53,0,0.001,11.1222,2000,3.12552,2.99256,3.457,3.27096,516.812,486.375,1860.52,1750.95,17.5,9.875,1.65542e+06,123.788,156.334,700,700,0.199437,398.875,0.00443172,8.86344,16.9963,33992.6,267.812,-0.400418,-1.20081e-09,0.866275,0.434227,10228
54,0,0.001,11.3755,2000,3.17866,3.04668,3.48317,3.32263,530,496.812,1908,1788.52,18.375,10.1875,1.57252e+06,115.886,148.58,700,700,0.202469,404.938,0.00485184,9.70369,17.051,34102,274.562,-0.430207,-6.89526e-10,0.854441,0.37774,10411.1
55,0,0.001,11.51,2000,3.10925,2.99988,3.45655,3.22628,554.812,515.938,1997.32,1857.38,22.125,10.625,1.55022e+06,103.625,138.623,700,700,0.202656,405.312,0.00480479,9.60958,18.0806,36161.2,287.188,-0.448652,-1.82465e-10,0.83141,0.456157,10596.6
56,0,0.001,11.37,2000,3.02579,2.90218,3.42994,3.16021,521.062,486.562,1875.83,1751.62,18.4375,9.625,1.5425e+06,119.363,153.046,700,700,0.197188,394.375,0.00382301,7.64602,17.5406,35081.2,270.062,-0.392963,-3.72531e-11,0.84842,0.446941,10779.7
57,0,0.001,10.9441,2000,3.16255,3.01862,3.49819,3.32097,512.562,483.125,1845.23,1739.25,15.4375,8.8125,1.56666e+06,125.359,157.235,700,700,0.202969,405.938,0.00471396,9.42793,16.6918,33383.6,266.25,-0.434214,-3.62065e-10,0.839424,0.360211,10955.9
58,0,0.001,11.0925,2000,3.15808,3.01086,3.489,3.32014,505.812,475.438,1820.93,1711.57,16.875,9,1.60726e+06,125.724,157.349,700,700,0.195531,391.062,0.00340618,6.81236,16.5487,33097.5,262.562,-0.264453,-1.5064e-10,0.840097,0.369797,11134.4
59,0,0.001,11.2626,2000,3.04148,2.90271,3.41845,3.19409,495.375,466.312,1783.35,1678.72,12.8125,6.9375,1.55642e+06,129.034,161.655,700,700,0.201125,402.25,0.00426843,8.53686,17.0438,34087.5,256.75,-0.318685,-7.31559e-10,0.852342,0.438525,11315.8
60,0,0.001,11.6611,2000,2.92575,2.82094,3.36868,3.03872,514.438,479.375,1851.97,1725.75,17.9375,9.8125,1.52882e+06,119.424,154.503,700,700,0.194844,389.688,0.00315453,6.30906,18.1637,36327.3,267.688,-0.186912,6.10017e-10,0.836749,0.466516,11503.6
61,0,0.001,10.9423,2000,3.26251,3.11728,3.51115,3.42202,523.25,493.812,1883.7,1777.72,17.3125,9.5625,1.6288e+06,120.806,152.438,700,700,0.203625,407.25,0.00454732,9.09465,16.5482,33096.5,271.688,-0.412999,1.13858e-11,0.823688,0.432086,11679.8
62,0,0.001,10.8856,2000,3.29158,3.12193,3.51929,3.48016,498.438,473.062,1794.38,1703.02,14.125,7.375,1.63649e+06,133.024,162.981,700,700,0.201219,402.438,0.00407731,8.15462,15.7614,31522.8,259.062,-0.371951,1.23814e-09,0.810137,0.418533,11855.1
63,0,0.001,10.6188,2000,3.41836,3.25509,3.55603,3.59946,512.688,484.062,1845.68,1742.62,18.25,10.75,1.60924e+06,126.693,156.323,700,700,0.196406,392.812,0.0032303,6.4606,15.5728,31145.7,266.5,-0.297419,6.97768e-10,0.798744,0.412715,12026.2
