,step,id,type,speed,lane_id,lane_position,fuel
30,601,f_right_1.76,human,11.4341543208974,e_n_100.200_n_200.200_0,55.36269511467259,1.2184176760988887
31,601,f_right_0.77,rl,13.15751528612398,e_n_100.100_n_200.100_0,59.773142016098504,1.310699852749549
32,601,f_right_1.77,rl,10.733050247208615,e_n_100.200_n_200.200_0,31.422862310625966,1.2549071539067933
33,601,f_up_0.54,rl,1.1141504556339628,e_n_100.0_n_100.100_0,78.01611368895193,1.0753506206942183
34,601,f_right_0.78,human,11.566293435363418,e_n_100.100_n_200.100_0,32.800966814112634,1.5422549944025288
35,601,f_right_1.78,human,10.084227151872573,e_n_100.200_n_200.200_0,9.031878779055095,1.2967429491357911
36,601,f_up_0.55,human,1.3704181952375813,e_n_100.0_n_100.100_0,69.28456103878068,0.0
37,601,f_right_0.79,human,0.6241081027753008,:n_100.100_1_0,0.5252179182531789,0.0
38,601,f_right_1.79,human,9.623062500402874,:n_100.200_1_0,1.2061481970824133,1.118954864653796
39,601,f_up_0.56,human,2.110650444180849,e_n_100.0_n_100.100_0,60.174841868260145,0.0
40,601,f_right_0.80,rl,1.5,e_n_0.100_n_100.100_0,57.74243608040322,1.3043600254567236
41,601,f_right_1.80,rl,9.298822175965551,e_n_0.200_n_100.200_0,81.7917170038246,1.1865123782811273
42,601,f_right_0.81,human,1.873766432050265,e_n_0.100_n_100.100_0,48.26957601967791,0.0
43,601,f_right_1.81,human,9.66996714819181,e_n_0.200_n_100.200_0,61.17180788018289,0.0
44,601,f_up_0.57,rl,8.397942087937047,e_n_100.0_n_100.100_0,38.352234092366984,0.0
45,601,f_right_0.82,human,7.8374816914795735,e_n_0.100_n_100.100_0,29.712015692488947,0.0
46,601,f_right_1.82,human,10.167504655442643,e_n_0.200_n_100.200_0,31.97693185538653,2.5499859889944982
47,601,f_up_0.58,human,3.7596057754373797,e_n_100.0_n_100.100_0,8.86042731169083,2.0288530569627454
48,601,f_right_0.83,rl,1.5,e_n_0.100_n_100.100_0,6.225,1.3043600254567236
49,601,f_right_1.83,rl,1.5,e_n_0.200_n_100.200_0,6.225,1.3043600254567236
50,602,f_up_0.51,rl,5.903657943367828,e_n_100.100_n_100.200_0,1.9461882489091629,1.9088682010345022
51,602,f_up_0.52,human,2.580080301299526,e_n_100.0_n_100.100_0,98.59694034800629,0.0
52,602,f_right_1.75,human,15.145434415754588,e_n_100.200_n_200.200_0,94.69766975427122,5.469778922227005
53,602,f_up_0.53,human,2.331721861038165,e_n_100.0_n_100.100_0,88.22053542948811,1.2796925998550448
54,602,f_right_1.76,human,11.45849851793469,e_n_100.200_n_200.200_0,61.09194437363993,0.9947494819978441
55,602,f_right_0.77,rl,13.144831347301935,e_n_100.100_n_200.100_0,66.34555768974947,0.0
56,602,f_right_1.77,rl,10.883374459842274,e_n_100.200_n_200.200_0,36.8645495405471,1.2875847563812024
57,602,f_up_0.54,rl,1.3389363102030871,e_n_100.0_n_100.100_0,78.68558184405347,1.1271418629727297
58,602,f_right_0.78,human,11.674398785868604,e_n_100.100_n_200.100_0,38.638166207046936,1.219870859117842
